task,algo1,algo2,test,alpha,epsilon,target_n,power,se
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,2,0.116,0.010126401137620413
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.06,0.007509993342207435
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.001,0.0009994998749374609
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.426,0.015637263187655313
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,2,0.442,0.01570464899321217
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,3,0.075,0.008329165624478841
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.058,0.007391616873188166
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.188,0.012355403676124872
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.297,0.014449602070645405
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,3,0.204,0.01274299807737567
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,5,0.101,0.009528850927577786
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.066,0.007851369307324678
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.079,0.008529888627643388
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.123,0.010386096475577337
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.208,0.0128349522788361
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,5,0.125,0.010458250331675944
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,10,0.135,0.010806248192596726
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.154,0.011414201680362931
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.223,0.01316324428095141
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.222,0.013142145943490356
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.241,0.013524755080961725
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,10,0.149,0.01126050620531777
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,20,0.305,0.014559361249725209
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.316,0.014701836619960105
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.393,0.015445096309184997
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.403,0.01551099609954177
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.382,0.01536476488593301
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,20,0.319,0.014739029818817792
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,30,0.462,0.01576565888252058
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.486,0.015805189021330938
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.524,0.01579316307773715
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.561,0.015693278816104682
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.523,0.01579465099329517
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,30,0.464,0.015770351930125086
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,2,0.177,0.012069424178476784
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.093,0.009184280047995052
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.001,0.0009994998749374609
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.511,0.015807561481771943
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,2,0.545,0.015747221977225064
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,3,0.171,0.011906258858264422
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.125,0.010458250331675944
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.232,0.013348258313353095
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.435,0.0156772127624779
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,3,0.336,0.014936666294725875
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,5,0.251,0.013711272734505722
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.215,0.012991343271578963
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.129,0.010599952830083727
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.229,0.013287550564344055
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.463,0.015768037290671277
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,5,0.272,0.014071815803228808
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,10,0.538,0.015765658882520576
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.527,0.01578831846651188
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.38,0.015349267083479915
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.419,0.015602531845825536
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.671,0.014857960829131297
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,10,0.515,0.01580427157448264
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,20,0.895,0.009694070352540258
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.915,0.008819013550278736
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.648,0.015102847413650183
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.669,0.014880826589944525
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.912,0.008958571314668425
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,20,0.888,0.00997276290703835
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,30,0.98,0.0044271887242357325
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.98,0.0044271887242357325
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.833,0.01179453263168999
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.833,0.01179453263168999
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.989,0.0032983329122452166
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,30,0.974,0.005032295698784007
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,2,0.308,0.014599178059055242
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.177,0.012069424178476784
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.736,0.013939296969359681
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,2,0.727,0.014087973594523805
