task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,20,0.854,0.011166198995181844
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.838,0.011651437679531227
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.87,0.010634848376916336
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.865,0.010806248192596726
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.873,0.010529529904036551
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,20,0.856,0.011102432165971564
Humanoid-v5,SAC,TD3,t-test,0.05,1.0,30,0.973,0.005125524363418832
Humanoid-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.951,0.006826346021115546
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.956,0.006485676526007139
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.967,0.005648982209212561
Humanoid-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.98,0.0044271887242357325
Humanoid-v5,SAC,TD3,permutation,0.05,1.0,30,0.96,0.00619677335393187
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,2,0.313,0.014663935351739656
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.158,0.011534123287012324
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.8,0.012649110640673518
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,2,0.806,0.012504559168559281
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,3,0.531,0.01578096955196353
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.321,0.0147634345597493
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.739,0.013888088421377507
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.735,0.013956181426163821
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,3,0.686,0.01467664811869522
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,5,0.78,0.01309961831505025
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.619,0.015357050498061143
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.619,0.015357050498061143
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.629,0.015276092432294327
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.908,0.009139803061335619
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,5,0.777,0.013163244280951409
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,10,0.984,0.00396787096564392
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.984,0.00396787096564392
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.946,0.0071473071852271785
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.955,0.00655553201502365
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.999,0.0009994998749374613
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,10,0.99,0.003146426544510456
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.998,0.0014127986409959495
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,20,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,2,0.049,0.006826346021115542
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.012,0.003443254274665175
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.001,0.0009994998749374609
Humanoid-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.523,0.01579465099329517
Humanoid-v5,SAC,TD3,permutation,0.01,0.5,2,0.503,0.01581110369329099
Humanoid-v5,SAC,TD3,t-test,0.01,0.5,3,0.045,0.0065555320150236475
Humanoid-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.027,0.00512552436341883
Humanoid-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
