task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.824,0.012042591083317579
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.821,0.012122664723566351
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.812,0.01235540367612487
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.865,0.010806248192596726
Hopper-v5,SAC,TD3,permutation,0.05,1.0,20,0.835,0.011737759581794136
Hopper-v5,SAC,TD3,t-test,0.05,1.0,30,0.947,0.007084560677981384
Hopper-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.948,0.007021111023192843
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.936,0.007739767438366605
Hopper-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.927,0.008226238508577293
Hopper-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.958,0.006343185319695463
Hopper-v5,SAC,TD3,permutation,0.05,1.0,30,0.945,0.007209368904418752
Hopper-v5,SAC,TD3,t-test,0.05,2.0,2,0.464,0.015770351930125086
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.365,0.015224158433227107
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.787,0.012947239087929132
Hopper-v5,SAC,TD3,permutation,0.05,2.0,2,0.826,0.011988494484296184
Hopper-v5,SAC,TD3,t-test,0.05,2.0,3,0.624,0.015317441039547044
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.446,0.01571890581433708
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.527,0.01578831846651188
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.754,0.013619251080731275
Hopper-v5,SAC,TD3,permutation,0.05,2.0,3,0.662,0.014958475858188226
Hopper-v5,SAC,TD3,t-test,0.05,2.0,5,0.705,0.01442133835675455
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.696,0.014545927265045704
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.347,0.01505293991218991
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.433,0.015668790636165893
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.785,0.012991343271578961
Hopper-v5,SAC,TD3,permutation,0.05,2.0,5,0.715,0.014274978108564651
Hopper-v5,SAC,TD3,t-test,0.05,2.0,10,0.964,0.005891010100144119
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.952,0.006759881655768837
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.753,0.013637851736985557
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.75,0.013693063937629153
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.975,0.004937104414532877
Hopper-v5,SAC,TD3,permutation,0.05,2.0,10,0.967,0.005648982209212561
Hopper-v5,SAC,TD3,t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Welch t-test,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.958,0.006343185319695463
Hopper-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.953,0.00669260786241059
Hopper-v5,SAC,TD3,bootstrap,0.05,2.0,20,1.0,0.0
Hopper-v5,SAC,TD3,permutation,0.05,2.0,20,0.999,0.0009994998749374613
