task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,2,0.136,0.010839926199010766
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.081,0.008627803892068943
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.48,0.0157987341265052
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,2,0.48,0.0157987341265052
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,3,0.12,0.010276186062932104
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.074,0.00827792244467173
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.28,0.014198591479439079
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.319,0.014739029818817792
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,3,0.262,0.013905250806799567
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,5,0.138,0.01090669519148674
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.089,0.00900438781928011
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.146,0.011166198995181842
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.166,0.011766222843376714
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.241,0.013524755080961725
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,5,0.141,0.011005407761641547
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,10,0.201,0.012672766075328622
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.146,0.011166198995181842
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.243,0.013562853682024296
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.281,0.014214042352547005
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.259,0.013853483316480371
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,10,0.205,0.0127661662216971
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,20,0.313,0.014663935351739656
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.308,0.014599178059055242
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.436,0.015681326474504636
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.403,0.01551099609954177
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.365,0.015224158433227107
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,20,0.342,0.01500119995200384
Humanoid-v5,SAC,TD3,t-test,0.05,0.5,30,0.45,0.015732132722552274
Humanoid-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.431,0.015660108556456432
Humanoid-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.562,0.01568935945155187
Humanoid-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.571,0.015651166090742248
Humanoid-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.456,0.015750047618975634
Humanoid-v5,SAC,TD3,permutation,0.05,0.5,30,0.451,0.01573527883451704
