task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Ant-v5,SAC,TD3,t-test,0.05,0.5,2,0.057,0.007331507348424334
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.036,0.005891010100144117
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.358,0.01516034300403523
Ant-v5,SAC,TD3,permutation,0.05,0.5,2,0.38,0.015349267083479915
Ant-v5,SAC,TD3,t-test,0.05,0.5,3,0.07,0.008068457101577725
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.051,0.00695693898205238
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.217,0.013034991369387246
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.212,0.012925014506761685
Ant-v5,SAC,TD3,permutation,0.05,0.5,3,0.125,0.010458250331675944
Ant-v5,SAC,TD3,t-test,0.05,0.5,5,0.058,0.007391616873188166
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.057,0.007331507348424334
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.14,0.010972693379476163
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.255,0.013783141876945184
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.164,0.011709141727727102
Ant-v5,SAC,TD3,permutation,0.05,0.5,5,0.079,0.008529888627643388
Ant-v5,SAC,TD3,t-test,0.05,0.5,10,0.126,0.010493998284733994
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.116,0.010126401137620413
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.446,0.01571890581433708
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.439,0.015693278816104682
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.232,0.013348258313353095
Ant-v5,SAC,TD3,permutation,0.05,0.5,10,0.11,0.009894442884771228
Ant-v5,SAC,TD3,t-test,0.05,0.5,20,0.306,0.0145727142289966
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.294,0.014407081592050487
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.744,0.013800869537822608
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.729,0.014055568291606
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.412,0.015564575162849772
Ant-v5,SAC,TD3,permutation,0.05,0.5,20,0.269,0.014022802858202064
Ant-v5,SAC,TD3,t-test,0.05,0.5,30,0.439,0.015693278816104682
Ant-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.505,0.01581059771166163
Ant-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.907,0.009184280047995052
Ant-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.898,0.009570579919733181
Ant-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.564,0.015681326474504636
Ant-v5,SAC,TD3,permutation,0.05,0.5,30,0.492,0.015809364313595912
Ant-v5,SAC,TD3,t-test,0.05,1.0,2,0.062,0.007626008130076967
Ant-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.028,0.005216895628628198
