task,algo1,algo2,test,alpha,epsilon,target_n,power,se
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,2,0.137,0.010873407929439602
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.062,0.007626008130076967
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.448,0.01572564784039119
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,2,0.43,0.015655669899432602
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,3,0.096,0.009315793041926168
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.075,0.008329165624478841
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.183,0.012227469075814503
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.266,0.013972973913952606
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,3,0.198,0.012601428490452978
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,5,0.107,0.009775019181566858
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.077,0.00843036179532053
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.068,0.007960904471226871
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.12,0.010276186062932104
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.212,0.012925014506761685
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,5,0.112,0.00997276290703835
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,10,0.148,0.011229247525992114
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.153,0.011383804285035824
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.196,0.012553246592017541
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.235,0.013408019988051927
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.234,0.013388203763014663
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,10,0.157,0.01150439046625244
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,20,0.31,0.014625320509308504
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.346,0.015042739112276061
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.376,0.015317441039547044
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.435,0.0156772127624779
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.362,0.015197236590906913
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,20,0.309,0.014612289348353324
HalfCheetah-v5,SAC,TD3,t-test,0.05,0.5,30,0.48,0.0157987341265052
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.48,0.0157987341265052
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.567,0.015668790636165896
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.535,0.015772602828956293
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.524,0.01579316307773715
HalfCheetah-v5,SAC,TD3,permutation,0.05,0.5,30,0.492,0.015809364313595912
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,2,0.176,0.012042591083317577
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.101,0.009528850927577786
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.515,0.01580427157448264
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,2,0.481,0.01579996835439869
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,3,0.167,0.01179453263168999
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.109,0.00985489725973843
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.228,0.013267102170406317
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.398,0.015478888849009803
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,3,0.311,0.014638271755914358
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,5,0.235,0.013408019988051927
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.236,0.013427732496590778
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.132,0.010704017937204702
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.2,0.01264911064067352
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.423,0.015622771841129857
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,5,0.269,0.014022802858202064
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,10,0.571,0.015651166090742248
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.546,0.015744332313566048
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.355,0.015131919904625453
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.372,0.015284501954594399
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.669,0.014880826589944525
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,10,0.551,0.015728922404284407
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,20,0.884,0.010126401137620413
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.881,0.010239091756596383
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.662,0.014958475858188226
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.642,0.01516034300403523
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.915,0.008819013550278736
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,20,0.895,0.009694070352540258
HalfCheetah-v5,SAC,TD3,t-test,0.05,1.0,30,0.976,0.004839834707921338
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.974,0.005032295698784007
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.81,0.012405643876881197
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.805,0.012528966437819202
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.983,0.004087909000944127
HalfCheetah-v5,SAC,TD3,permutation,0.05,1.0,30,0.978,0.004638534251247911
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,2,0.258,0.013836039895866157
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.143,0.011070275515993266
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.714,0.014289996501049257
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,2,0.741,0.013853483316480371
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,3,0.39,0.01542400726140908
HalfCheetah-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.255,0.013783141876945184
HalfCheetah-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
HalfCheetah-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.325,0.014811313243598625
HalfCheetah-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.847,0.011383804285035824
HalfCheetah-v5,SAC,TD3,permutation,0.05,2.0,3,0.583,0.015592017188292218
HalfCheetah-v5,SAC,TD3,t-test,0.05,2.0,5,0.831,0.011850696182081458
