task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,2,0.053,0.00708456067798138
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.027,0.00512552436341883
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.403,0.01551099609954177
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,2,0.41,0.01555313473226539
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,3,0.07,0.008068457101577725
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.048,0.006759881655768835
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.158,0.011534123287012324
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.309,0.014612289348353324
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,3,0.161,0.011622349160131096
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,5,0.12,0.010276186062932104
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.086,0.008865889690267977
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.1,0.009486832980505138
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.144,0.011102432165971562
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.275,0.014120021246442939
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,5,0.147,0.011197812286335219
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,10,0.234,0.013388203763014663
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.199,0.012625331678811452
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.212,0.012925014506761685
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.269,0.014022802858202064
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.308,0.014599178059055242
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,10,0.225,0.013205112646244258
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,20,0.367,0.015241751867813621
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.356,0.015141466243399283
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.439,0.015693278816104682
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.466,0.01577479001445027
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.394,0.015451990163082553
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,20,0.346,0.015042739112276061
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,30,0.483,0.01580224667571039
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.501,0.015811356678033673
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.621,0.015341414537127925
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.613,0.015402305022301045
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.539,0.015763216676808068
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,30,0.524,0.01579316307773715
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,2,0.104,0.009653186002558949
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.058,0.007391616873188166
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.6,0.015491933384829668
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,2,0.611,0.015416841440450765
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,3,0.205,0.0127661662216971
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.143,0.011070275515993266
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.307,0.01458598642533305
